Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59451064,"Ритм войны. Том 1 (The Stormlight Archive, #4, Part 1)",Brandon Sanderson,"Sanderson, Brandon",,"=""5389202600""","=""9785389202603""",5,Азбука,Kindle Edition,913,2021,2020,2025/11/13,2025/11/02,,,read,,,,1,0
17213392,О мышах и людях,John Steinbeck,"Steinbeck, John",,"=""""","=""""",0,,ebook,,,1937,,2025/11/02,,,read,,,,1,0
57908617,Осколок зари,Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,,Unknown Binding,,2020,2020,2025/10/30,2025/10/29,,,read,,,,1,0
54565949,Убить пересмешника,Harper Lee,"Lee, Harper","Харпер Ли, Нора Галь, Раиса Облонская, Ю.В. Ковалев, В.Б. Мартусевич","=""""","=""""",5,Лениздат,Paperback,288,1987,1960,2025/10/28,2025/10/28,,,read,,,,1,0
44715414,Давший клятву (Архив Буресвета #3),Brandon Sanderson,"Sanderson, Brandon",Брендон Сандерсон,"=""5389161416""","=""9785389161412""",5,Азбука-Аттикус,Kindle Edition,1770,2019,2017,2025/10/25,2025/10/05,,,read,,,,1,0
39441761,"Гранетанцор (The Stormlight Archive, #2.5)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",0,,Paperback,350,2017,2016,2025/10/05,2025/10/04,,,read,,,,1,0
36557307,"Слова сияния (Архив Буресвета, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""5389135628""","=""9785389135628""",0,Азбука-Аттикус,Kindle Edition,1550,2017,2014,2025/10/04,2025/09/26,,,read,,,,1,0
30843909,"Путь королей (Архив Буресвета, #1)",Brandon Sanderson,"Sanderson, Brandon","Брендон Сандерсон, Наталия Осояну","=""5389099427""","=""9785389099425""",5,Азбука-Аттикус,Hardcover,1152,2016,2010,2025/09/25,2025/09/08,,,read,,,,1,0
10644930,11/22/63,Stephen  King,"King, Stephen",,"=""1451627289""","=""9781451627282""",5,Scribner,Hardcover,849,2011,2011,2025/09/05,2025/08/31,,,read,,,,1,0
40541639,Убийца войн,Brandon Sanderson,"Sanderson, Brandon",Брендон Сандерсон,"=""""","=""""",5,Азбука,Kindle Edition,673,2018,2009,2025/08/30,2025/08/26,,,read,,,,1,0
232193662,"Канашибари. Пока не погаснет последний фонарь. Том 3(Канашибари, #3)",Ангелина Шэн,"Шэн, Ангелина",Вероника Шэн,"=""5353109864""","=""9785353109860""",5,O2,Hardcover,475,2025,,2025/08/13,2025/08/07,,,read,,,,1,0
208096282,Космер. Тайная история,Brandon Sanderson,"Sanderson, Brandon","Брендон Сандерсон, Наталья Осояну","=""5389248503""","=""9785389248502""",5,Азбука,Kindle Edition,854,2024,2016,2025/08/07,2025/08/04,,,read,,,,1,0
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",5,Tor Books,Hardcover,572,2008,2008,2025/08/03,2025/07/20,,,read,,,,1,0
